2026-02-05 23:29:06 [INFO] Using device: cuda
2026-02-05 23:29:06 [INFO] Model: attention_unet (31,562,643 params)
2026-02-05 23:29:06 [INFO] Train: 10000 samples, Val: 2000 samples
2026-02-05 23:29:07 [INFO] Training for 100 epochs on cuda
2026-02-05 23:29:07 [INFO] Model parameters: 31,562,643
2026-02-05 23:29:07 [INFO] Curriculum Learning Schedule:
--------------------------------------------------
  Phase 'easy': epochs 1-15, noise_scale=0.10, mixed_prob=0.00
  Phase 'medium': epochs 16-35, noise_scale=0.35, mixed_prob=0.20
  Phase 'hard': epochs 36-60, noise_scale=0.70, mixed_prob=0.40
  Phase 'extreme': epochs 61-100, noise_scale=1.00, mixed_prob=0.60
2026-02-05 23:37:38 [INFO] Epoch 1 [2400/2500] Loss: 0.2508 | Phase: easy | Scale: 0.10
2026-02-05 23:37:49 [INFO] Epoch 1 [2450/2500] Loss: 0.1444 | Phase: easy | Scale: 0.10
2026-02-05 23:44:06 [INFO] Epoch 1/100 (898.5s) | Phase: easy | LR: 3.33e-05 | Train Loss: 0.2916 | Val Loss: 0.3759 | Val Dice: 0.8960 | Val IoU: 0.8116
2026-02-05 23:44:06 [INFO] New best model saved (dice=0.8960)
2026-02-05 23:44:13 [INFO] Epoch 2 [0/2500] Loss: 0.1526 | Phase: easy | Scale: 0.10
2026-02-05 23:44:23 [INFO] Epoch 2 [50/2500] Loss: 0.1515 | Phase: easy | Scale: 0.10
2026-02-05 23:44:34 [INFO] Epoch 2 [100/2500] Loss: 0.1059 | Phase: easy | Scale: 0.10
2026-02-05 23:44:44 [INFO] Epoch 2 [150/2500] Loss: 0.0941 | Phase: easy | Scale: 0.10
2026-02-05 23:44:55 [INFO] Epoch 2 [200/2500] Loss: 0.0861 | Phase: easy | Scale: 0.10
2026-02-05 23:45:05 [INFO] Epoch 2 [250/2500] Loss: 0.1545 | Phase: easy | Scale: 0.10
2026-02-05 23:45:16 [INFO] Epoch 2 [300/2500] Loss: 0.0265 | Phase: easy | Scale: 0.10
2026-02-05 23:45:26 [INFO] Epoch 2 [350/2500] Loss: 0.0509 | Phase: easy | Scale: 0.10
2026-02-05 23:45:37 [INFO] Epoch 2 [400/2500] Loss: 0.1115 | Phase: easy | Scale: 0.10
2026-02-05 23:45:47 [INFO] Epoch 2 [450/2500] Loss: 0.0414 | Phase: easy | Scale: 0.10
